name,rating,genre,country,budget,gross
The Secret of NIMH,G,Animation,United States,7000000,14665733
The King of Comedy,PG,Comedy,United States,20000000,2536242
Rocky III,PG,Drama,United States,17000000,125052686
The Beastmaster,PG,Action,United States,8000000,14056528
Creepshow,R,Comedy,United States,8000000,21028755
The Man from Snowy River,PG,Adventure,Australia,3500000,20659423
Pink Floyd: The Wall,R,Drama,United Kingdom,12000000,22265763
Cat People,R,Fantasy,United States,18000000,7000000
Friday the 13th Part III,R,Horror,United States,2300000,36690067
Firefox,PG,Action,United States,18000000,46708276
Halloween III: Season of the Witch,R,Horror,United States,2500000,14400000
The Dark Crystal,PG,Adventure,United Kingdom,15000000,41630431
The Verdict,R,Drama,United States,16000000,53993738
The World According to Garp,R,Comedy,United States,17000000,29712172
Diner,R,Comedy,United States,5000000,14099953
The Best Little Whorehouse in Texas,R,Comedy,United States,35000000,69701637
The Year of Living Dangerously,PG,Drama,Australia,13000000,10278575
The Entity,R,Drama,United States,9000000,13277558
The Toy,PG,Comedy,United States,17000000,47118057
The House on Sorority Row,R,Horror,United States,425000,10604986
Death Wish II,R,Action,United States,2000000,16100000
Megaforce,PG,Action,Hong Kong,20000000,5675599
Personal Best,R,Drama,United States,16000000,5672311
Dead Men Don't Wear Plaid,PG,Comedy,United States,9000000,18196170
Missing,PG,Biography,United States,9500000,14000000
Cannery Row,PG,Comedy,United States,11300000,5301539
Tempest,PG,Comedy,United States,13000000,5005245
Still of the Night,PG,Crime,United States,10000000,5979947
Honkytonk Man,PG,Comedy,United States,2000000,4484991
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,United States,850000,840958
Trail of the Pink Panther,PG,Comedy,United Kingdom,6000000,9056073
The Border,R,Crime,United States,22000000,6118683
Best Friends,PG,Comedy,United States,15000000,36821203
Shoot the Moon,R,Drama,United States,12000000,9217530
Lookin' to Get Out,R,Comedy,United States,17000000,946461
Barbarosa,PG,Western,United States,11000000,1736123
The Soldier,R,Action,United States,4000000,6328816
Wrong Is Right,R,Comedy,United States,10000000,3583513
Jekyll and Hyde... Together Again,R,Sci-Fi,United States,5000000,3792188
"Yes, Giorgio",PG,Comedy,United States,19000000,2279543
Scarface,R,Crime,United States,25000000,65884703
The Outsiders,PG,Crime,United States,10000000,25697647
Star Wars: Episode VI - Return of the Jedi,PG,Action,United States,32500000,475106177
National Lampoon's Vacation,R,Adventure,United States,15000000,61399552
Trading Places,R,Comedy,United States,15000000,90404800
Superman III,PG,Action,France,39000000,59950623
The Big Chill,R,Comedy,United States,8000000,56399659
Staying Alive,PG,Drama,United States,22000000,64892670
Christine,R,Horror,United States,9700000,21017849
Flashdance,R,Drama,United States,4000000,92921203
WarGames,PG,Action,United States,12000000,79567667
The Right Stuff,PG,Adventure,United States,27000000,21192315
Krull,PG,Action,United Kingdom,47000000,16916617
The Dead Zone,R,Drama,United States,10000000,20766616
Octopussy,PG,Action,United Kingdom,27500000,67893619
Valley Girl,R,Comedy,United States,350000,17343596
Rumble Fish,R,Crime,United States,10000000,2494480
Videodrome,R,Horror,Canada,5952000,2120439
Terms of Endearment,PG,Comedy,United States,8000000,108423749
Twilight Zone: The Movie,PG,Horror,United States,10000000,29450919
Never Say Never Again,PG,Action,United Kingdom,36000000,55432841
A Christmas Story,PG,Comedy,United States,3300000,20653717
Cujo,R,Horror,United States,5000000,21156152
Sudden Impact,R,Action,United States,22000000,67642693
Blue Thunder,R,Action,United States,22000000,42313354
Breathless,R,Action,United States,7500000,19910002
Psycho II,R,Crime,United States,5000000,34725000
Silkwood,R,Biography,United States,10000000,35615609
All the Right Moves,R,Drama,United States,5600000,17233166
The Keep,R,Drama,United Kingdom,11000000,4218594
Yentl,PG,Drama,United Kingdom,12000000,40218899
Fire and Ice,PG,Animation,United States,1200000,760883
The Meaning of Life,R,Comedy,United Kingdom,9000000,14949697
Porky's II: The Next Day,R,Comedy,Canada,6500000,33759266
Gorky Park,R,Crime,United States,15000000,15856028
Losin' It,R,Comedy,Canada,7000000,1246141
10 to Midnight,R,Crime,United States,4520000,7175592
Uncommon Valor,R,Action,United States,14500000,30503151
Two of a Kind,PG,Comedy,United States,14000000,23646952
Spacehunter: Adventures in the Forbidden Zone,PG,Action,United States,14400000,16478265
Under Fire,R,Drama,United States,9500000,5696391
Amityville 3-D,PG,Horror,Mexico,6000000,6333135
Revenge of the Ninja,R,Action,United States,700000,13168027
To Be or Not to Be,PG,Comedy,United States,9000000,13030214
The Wicked Lady,R,Adventure,United Kingdom,8000000,724912
Of Unknown Origin,R,Horror,Canada,4000000,1080470
Curse of the Pink Panther,PG,Comedy,United Kingdom,11000000,4491986
D.C. Cab,R,Action,United States,8000000,16134627
Beyond the Limit,R,Drama,United Kingdom,11800000,5997566
The Survivors,R,Comedy,United States,12000000,14000000
The Man Who Loved Women,R,Comedy,United States,19000000,10964740
Nightmares,R,Horror,United States,6000000,6670680
Deal of the Century,PG,Comedy,United States,10000000,10369581
Eddie Macon's Run,PG,Action,United States,5000000,1262691
Baby It's You,R,Comedy,United States,3000000,1867792
Love Letters,R,Drama,United States,550000,5269990
Get Crazy,R,Comedy,United States,5500000,1645711
Lianna,R,Drama,United States,300000,1530839
Lovesick,PG,Comedy,United States,10100000,10171304
The Terminator,R,Action,United Kingdom,6400000,78371200
Dune,PG-13,Action,United States,40000000,30925690
Ghostbusters,PG,Action,United States,30000000,296187079
The Karate Kid,PG,Action,United States,8000000,91119319
Police Academy,R,Comedy,United States,4500000,81198894
Indiana Jones and the Temple of Doom,PG,Action,United States,28000000,333107271
Body Double,R,Crime,United States,10000000,8801940
A Nightmare on Elm Street,R,Horror,United States,1800000,25507137
Amadeus,PG,Biography,United States,18000000,52066791
Beverly Hills Cop,R,Action,United States,14000000,316360478
Red Dawn,PG-13,Action,United States,17000000,38376497
The NeverEnding Story,PG,Adventure,West Germany,27000000,20251411
Footloose,PG,Drama,United States,8200000,80039064
Revenge of the Nerds,R,Comedy,United States,8000000,40874452
Gremlins,PG,Comedy,United States,11000000,153633143
Romancing the Stone,PG,Action,Mexico,10000000,86572238
Streets of Fire,PG,Action,United States,14500000,8089290
Sixteen Candles,PG,Comedy,United States,6500000,23686027
This Is Spinal Tap,R,Comedy,United States,2500000,4736202
Top Secret!,PG,Comedy,United Kingdom,9000000,20458340
Conan the Destroyer,PG,Action,United States,18000000,31042035
Splash,PG,Comedy,United States,8000000,69821334
Blood Simple,R,Crime,United States,1500000,4228292
The Natural,PG,Drama,United States,28000000,47951979
Friday the 13th: the Final Chapter,R,Horror,United States,2600000,32980880
Against All Odds,R,Action,United States,13000000,21689062
Supergirl,PG,Action,United Kingdom,35000000,14296438
The Bounty,PG,Adventure,United Kingdom,25000000,8613462
Firestarter,R,Action,United States,15000000,17080167
The Woman in Red,PG-13,Comedy,United States,9000000,25348610
Star Trek III: The Search for Spock,PG,Action,United States,17000000,76471046
Repo Man,R,Action,United States,1500000,129000
2010: the Year We Make Contact,PG,Adventure,United States,28000000,40400657
The Killing Fields,R,Biography,United Kingdom,14400000,34700291
The Cotton Club,R,Crime,United States,58000000,25928721
Starman,PG,Romance,United States,22000000,28744356
Night of the Comet,PG-13,Comedy,United States,700000,14418922
The Philadelphia Experiment,PG,Adventure,United States,21000000,8103330
Bolero,R,Comedy,United States,7000000,8914881
Cannonball Run II,PG,Action,Hong Kong,20000000,28078073
Stranger Than Paradise,R,Comedy,United States,90000,2436000
The Ice Pirates,PG,Action,United States,9000000,14255801
The Hotel New Hampshire,R,Comedy,United Kingdom,7500000,5142858
Sheena,PG,Adventure,United Kingdom,25000000,5778353
Missing in Action,R,Action,United States,2550000,22812411
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,United Kingdom,30000000,45858563
Falling in Love,PG-13,Drama,United States,12000000,11129057
Birdy,R,Drama,United States,12000000,1455045
The Company of Wolves,R,Drama,United Kingdom,2000000,4389334
Racing with the Moon,PG,Comedy,United States,6500000,6045647
The Pope of Greenwich Village,R,Action,United States,8000000,6836201
Rhinestone,PG,Comedy,United States,28000000,21435321
Swing Shift,PG,Drama,United States,15000000,6650206
Moscow on the Hudson,R,Comedy,United States,13000000,25068724
The Evil That Men Do,R,Action,Mexico,4600000,13102025
Firstborn,R,Drama,United States,8000000,6250994
Teachers,R,Comedy,United States,9000000,27774237
The River,PG-13,Drama,United States,18000000,11489982
A Soldier's Story,PG,Crime,United States,6000000,21821347
Irreconcilable Differences,PG,Comedy,United States,6000000,12414210
City Heat,PG,Action,United States,25000000,38348988
The Brother from Another Planet,R,Comedy,United States,350000,3677209
Broadway Danny Rose,PG,Comedy,United States,8000000,10600497
Best Defense,R,Comedy,United States,18000000,19265302
Micki + Maude,PG-13,Comedy,United States,15100000,26080861
Protocol,PG,Comedy,United States,12000000,26186631
Choose Me,R,Comedy,United States,700000,2490233
Unfaithfully Yours,PG,Comedy,United States,12000000,19928200
Impulse,R,Horror,United States,10000000,2773433
Mrs. Soffel,PG-13,Drama,United States,11000000,4385312
Finders Keepers,R,Comedy,United States,7000000,1467396
Mike's Murder,R,Drama,United States,6300000,1059966
Weird Science,PG-13,Comedy,United States,7500000,38934048
The Goonies,PG,Adventure,United States,19000000,63980721
Back to the Future,PG,Adventure,United States,19000000,381906762
To Live and Die in L.A.,R,Action,United States,6000000,17307019
Clue,PG,Comedy,United States,15000000,14643997
The Breakfast Club,R,Comedy,United States,1000000,51525171
Cocoon,PG-13,Comedy,United States,17500000,85313124
Rambo: First Blood Part II,R,Action,United States,44000000,300400432
Mask,PG-13,Biography,United States,8000000,48230162
Legend,PG,Adventure,United States,24500000,15502112
St. Elmo's Fire,R,Drama,United States,10000000,37803872
Brazil,R,Drama,United Kingdom,15000000,9949953
Pale Rider,R,Drama,United States,6900000,41410568
Real Genius,PG,Comedy,United States,8000000,12952019
Commando,R,Action,United States,10000000,57491000
Witness,R,Crime,United States,12000000,68706993
The Color Purple,PG-13,Drama,United States,15000000,98467863
Silverado,PG-13,Action,United States,26000000,32192570
Rocky IV,PG,Drama,United States,30000000,300473716
Ran,R,Action,Japan,11500000,4164283
Ladyhawke,PG-13,Adventure,United States,20000000,18432000
A Room with a View,Not Rated,Drama,United Kingdom,3000000,21041453
Red Sonja,PG-13,Action,United States,17900000,6951415
Fright Night,R,Fantasy,United States,9000000,24922237
Explorers,PG,Adventure,United States,25000000,9873044
Mad Max Beyond Thunderdome,PG-13,Action,Australia,10000000,36230219
After Hours,R,Comedy,United States,4500000,10609321
A View to a Kill,PG,Action,United Kingdom,30000000,50327960
Fletch,PG,Comedy,United States,8000000,59612888
Perfect,R,Drama,United States,19000000,12918858
A Nightmare on Elm Street 2: Freddy's Revenge,R,Horror,United States,3000000,29999213
Lifeforce,R,Action,United Kingdom,25000000,11603545
Pee-wee's Big Adventure,PG,Adventure,United States,6000000,40940662
Out of Africa,PG,Biography,United States,31000000,227514205
Day of the Dead,Not Rated,Horror,United States,3500000,5000000
National Lampoon's European Vacation,PG-13,Adventure,United States,17000000,49364621
Spies Like Us,PG,Adventure,United States,22000000,60088980
House,R,Comedy,United States,3000000,19444631
Runaway Train,R,Action,United States,9000000,7683620
Re-Animator,Unrated,Comedy,United States,900000,2023414
Brewster's Millions,PG,Comedy,United States,20000000,45833132
The Last Dragon,PG-13,Action,United States,10000000,25754284
Jagged Edge,R,Drama,United States,15000000,40491165
Enemy Mine,PG-13,Action,United States,40000000,12303411
The Jewel of the Nile,PG,Action,United States,25000000,96773200
Into the Night,R,Action,United States,8000000,7562164
The Sure Thing,PG-13,Comedy,United States,4500000,18135531
White Nights,PG-13,Drama,United States,20000000,42160849
Young Sherlock Holmes,PG-13,Adventure,United States,18000000,19739575
Smooth Talk,PG-13,Drama,United Kingdom,2400000,16785
Year of the Dragon,R,Action,United States,24000000,18707466
The Quiet Earth,R,Drama,New Zealand,1000000,2123135
Mishima: A Life in Four Chapters,R,Biography,United States,5000000,569996
A Chorus Line,PG-13,Drama,United States,27000000,14202899
Cat's Eye,PG-13,Comedy,United States,7000000,13086298
Murphy's Romance,PG-13,Comedy,United States,13000000,30867525
Fandango,PG,Comedy,United States,7000000,91666
Death Wish 3,R,Action,United States,9000000,16116878
King Solomon's Mines,PG-13,Action,United States,12500000,15057465
American Warrior,R,Action,United States,1000000,10499694
The Falcon and the Snowman,R,Biography,United Kingdom,12000000,17130087
The Purple Rose of Cairo,PG,Comedy,United States,15000000,10631333
The Man with One Red Shoe,PG,Comedy,United States,16000000,8645411
Invasion U.S.A.,R,Action,United States,10000000,17536256
Revolution,PG,Adventure,United Kingdom,28000000,358574
Code of Silence,R,Action,United States,7000000,20345361
Crimewave,PG-13,Comedy,United States,3000000,5101
Santa Claus: The Movie,PG,Adventure,United Kingdom,50000000,23717291
Agnes of God,PG-13,Drama,United States,10000000,25627836
Godzilla 1985,PG,Action,Japan,2000000,4116395
Plenty,R,Drama,United Kingdom,10000000,6148000
King David,PG-13,Adventure,United Kingdom,22000000,5111099
Missing in Action 2: The Beginning,R,Action,United States,2410000,10755447
The Protector,R,Action,Hong Kong,5000000,981817
Krush Groove,R,Comedy,United States,3000000,11052713
He-Man and She-Ra: The Secret of the Sword,G,Animation,United States,2000000,7660857
O.C. and Stiggs,R,Comedy,United States,7000000,29815
Fever Pitch,R,Drama,United States,7000000,618847
Top Gun,PG,Action,United States,15000000,357288178
Aliens,R,Action,United Kingdom,18500000,131060248
Stand by Me,R,Adventure,United States,8000000,52287414
Ferris Bueller's Day Off,PG-13,Comedy,United States,6000000,70720215
Crocodile Dundee,PG-13,Action,Australia,8800000,328203506
Labyrinth,PG,Adventure,United Kingdom,25000000,13915874
Highlander,R,Action,United Kingdom,16000000,5900712
Big Trouble in Little China,PG-13,Action,United States,25000000,11100577
Pretty in Pink,PG-13,Comedy,United States,9000000,40479480
Platoon,R,Drama,United States,6000000,138545632
Blue Velvet,R,Drama,United States,6000000,8618766
Manhunter,R,Crime,United States,15000000,8621783
Howard the Duck,PG,Action,United States,37000000,37962774
The Fly,R,Drama,United States,15000000,60629159
Little Shop of Horrors,PG-13,Comedy,United States,25000000,38983045
The Mosquito Coast,PG,Adventure,United States,25000000,14302779
9½ Weeks,R,Drama,United States,17000000,6735922
The Golden Child,PG-13,Action,United States,25000000,79817937
Star Trek IV: The Voyage Home,PG,Action,United States,25000000,109713132
Short Circuit,PG,Comedy,United States,15000000,40697761
The Delta Force,R,Action,United States,12000000,17768900
The Color of Money,R,Drama,United States,13800000,52293982
Hoosiers,PG,Drama,United Kingdom,6000000,28607524
Heartbreak Ridge,R,Drama,United States,15000000,42724017
Flight of the Navigator,PG,Adventure,United States,9000000,18564613
Cobra,R,Action,United States,25000000,49042224
Peggy Sue Got Married,PG-13,Comedy,United States,18000000,41488348
The Mission,PG,Adventure,United Kingdom,24500000,17502499
Three Amigos!,PG,Comedy,United States,25000000,39246734
Lucas,PG-13,Comedy,United States,6000000,8200000
Friday the 13th Part VI: Jason Lives,R,Horror,United States,3000000,19472057
The Money Pit,PG,Comedy,United States,10000000,54999651
Back to School,PG-13,Comedy,United States,11000000,91258000
About Last Night,R,Comedy,United States,8500000,38702310
Critters,PG-13,Comedy,United States,2000000,13167232
The Texas Chainsaw Massacre 2,Unrated,Comedy,United States,4700000,8025872
From Beyond,R,Horror,United States,4500000,1261000
Sid and Nancy,R,Biography,United Kingdom,4000000,2850707
Henry: Portrait of a Serial Killer,Unrated,Biography,United States,111000,609939
Night of the Creeps,R,Comedy,United States,5000000,591366
The Hitcher,R,Action,United States,6000000,5844868
Raw Deal,R,Action,United States,8500000,16209459
Hannah and Her Sisters,PG-13,Comedy,United States,6400000,40084041
The Great Mouse Detective,G,Animation,United States,14000000,38625550
Ruthless People,R,Comedy,United States,13000000,71624879
At Close Range,R,Crime,United States,6500000,2347000
Something Wild,R,Comedy,United States,7000000,8362969
Heartburn,R,Comedy,United States,20000000,25314189
The Clan of the Cave Bear,R,Adventure,United States,15000000,1953732
She's Gotta Have It,R,Comedy,United States,175000,7137502
8 Million Ways to Die,R,Action,United States,18000000,1305114
Down by Law,R,Comedy,United States,1100000,1504286
Poltergeist II: the Other Side,PG-13,Horror,United States,19000000,40996665
Invaders from Mars,PG,Horror,United States,12000000,4884663
Down and Out in Beverly Hills,R,Comedy,United States,14000000,62134225
The Big Easy,R,Comedy,United States,8500000,17685307
Pirates,PG-13,Action,France,40000000,1641825
Lady Jane,PG-13,Biography,United Kingdom,8500000,277646
Club Paradise,PG-13,Comedy,United States,15000000,12308521
Armed and Dangerous,PG-13,Action,United States,12000000,15945534
F/X,R,Action,United States,10000000,20603715
King Kong Lives,PG-13,Action,United States,10000000,4711220
Wise Guys,R,Comedy,United States,13000000,8475466
Solarbabies,PG-13,Action,United States,25000000,1579260
The Manhattan Project,PG-13,Sci-Fi,United States,18000000,3900000
Gung Ho,PG-13,Comedy,United States,18000000,36611610
Murphy's Law,R,Action,United States,6000000,9947631
Band of the Hand,R,Action,United States,8700000,4865912
Haunted Honeymoon,PG,Comedy,United Kingdom,13000000,8033397
Tough Guys,PG,Comedy,United States,10000000,21458229
The Best of Times,PG-13,Comedy,United States,12000000,7817314
Firewalker,PG,Action,United States,8000000,11949484
Witchboard,R,Horror,United Kingdom,2000000,7369373
Legal Eagles,PG,Comedy,United States,40000000,93151591
The Morning After,R,Crime,United States,15000000,25147055
Crimes of the Heart,PG-13,Comedy,United States,20000000,22905522
Avenging Force,R,Action,United States,4000000,4679650
Power,R,Drama,United States,16000000,3800000
Born American,R,Action,United States,3401376,3388020
The Princess Bride,PG,Adventure,United Kingdom,16000000,30902642
Full Metal Jacket,R,Drama,United Kingdom,30000000,46357676
Predator,R,Action,United States,15000000,98268458
RoboCop,R,Action,United States,13000000,53424681
Dirty Dancing,PG-13,Drama,United States,6000000,214577242
Adventures in Babysitting,PG-13,Adventure,United States,7000000,34368475
The Untouchables,R,Crime,United States,25000000,76270454
Spaceballs,PG,Adventure,United States,22700000,38119483
Raising Arizona,PG-13,Comedy,United States,6000000,29180280
Lethal Weapon,R,Action,United States,15000000,120207127
Near Dark,R,Action,United States,5000000,3369307
Mannequin,PG,Comedy,United States,6000000,42721196
Fatal Attraction,R,Drama,United States,14000000,320145693
Empire of the Sun,PG,Action,United States,35000000,22238696
No Way Out,R,Action,United States,15000000,35509515
The Witches of Eastwick,R,Comedy,United States,22000000,63766510
The Running Man,R,Action,United States,27000000,38122105
Black Widow,R,Crime,United States,10500000,25205460
Angel Heart,X,Horror,United Kingdom,17000000,17186348
Moonstruck,PG,Comedy,United States,15000000,80642217
Jaws: the Revenge,PG-13,Adventure,United States,23000000,51881013
Wall Street,R,Crime,United States,15000000,43848069
"Good Morning, Vietnam",R,Biography,United States,13000000,123922370
A Nightmare on Elm Street 3: Dream Warriors,R,Fantasy,United States,4500000,44793222
"Planes, Trains & Automobiles",R,Comedy,United States,30000000,49530280
Overboard,PG,Comedy,United States,22000000,26713187
Beverly Hills Cop II,R,Action,United States,28000000,299965036
Superman IV: The Quest for Peace,PG,Action,United Kingdom,17000000,15681020
The Secret of My Success,PG-13,Comedy,United States,12000000,110996879
Evil Dead II,R,Comedy,United States,3600000,5923798
Innerspace,PG,Action,United States,27000000,25893810
The Living Daylights,PG,Action,United Kingdom,40000000,51186259
Over the Top,PG,Action,United States,25000000,16057580
Three Men and a Baby,PG,Comedy,United States,11000000,167780960
La Bamba,PG-13,Biography,United States,6500000,54215416
The Monster Squad,PG-13,Action,United States,12000000,3769990
Prince of Darkness,R,Horror,United States,3000000,14182492
Broadcast News,R,Comedy,United States,20000000,67331309
Harry and the Hendersons,PG,Comedy,United States,10000000,49998613
*batteries not included,PG,Comedy,United States,25000000,65088797
Roxanne,PG,Comedy,United States,12000000,40050884
Dragnet,PG-13,Comedy,United States,20000000,66673516
Throw Momma from the Train,PG-13,Comedy,United States,14000000,57915972
Ernest Goes to Camp,PG,Comedy,United States,3500000,23509382
The Hidden,R,Horror,United States,5000000,9747988
The Bedroom Window,R,Crime,United States,8300000,12640385
Barfly,R,Comedy,United States,3000000,3221568
Maid to Order,PG,Fantasy,United States,3000000,9868521
Blind Date,PG-13,Comedy,United States,18000000,39337581
Radio Days,PG,Comedy,United States,16000000,14792779
Project X,PG,Comedy,United States,18000000,21589395
Three O'Clock High,PG-13,Comedy,United States,6000000,3685862
The Believers,R,Crime,United States,13000000,18753438
Death Wish 4: The Crackdown,R,Action,United States,5000000,6880310
Cry Freedom,PG,Biography,United Kingdom,29000000,5899797
The Pick-up Artist,PG-13,Comedy,United States,15000000,13290368
Someone to Watch Over Me,R,Crime,United States,12800000,10278549
Ironweed,R,Drama,United States,27000000,7393346
Who's That Girl,PG,Comedy,United States,17000000,7305209
Extreme Prejudice,R,Action,United States,22000000,11307844
Matewan,PG-13,Drama,United States,4000000,1680358
Suspect,R,Crime,United States,14500000,18782400
The Fourth Protocol,R,Thriller,United Kingdom,6000000,12423831
Made in Heaven,PG,Comedy,United States,13000000,4572845
Date with an Angel,PG,Comedy,United States,8000000,1988962
Critical Condition,R,Comedy,United States,14000000,20240502
Like Father Like Son,PG-13,Comedy,United States,10500000,34377585
Steel Dawn,R,Action,United States,3520000,562187
Tin Men,R,Comedy,United States,11000000,25411386
Prison,R,Crime,United States,4000000,345704
The House on Carroll Street,PG,Thriller,United States,14000000,459824
The Principal,R,Action,United States,11000000,19734940
American Ninja 2: The Confrontation,R,Action,United States,350000,4000000
Slam Dance,R,Crime,United Kingdom,4500000,406881
Rampage,R,Drama,United States,7500000,796368
The Sicilian,R,Action,United States,9000000,5406879
Leonard Part 6,PG,Action,United States,24000000,4615255
White Mischief,R,Crime,United Kingdom,5300000,3107551
Hollywood Shuffle,R,Comedy,United States,100000,5228617
Nuts,R,Drama,United States,25000000,30950002
Straight to Hell,R,Action,United Kingdom,1000000,210200
Five Corners,R,Crime,United Kingdom,5500000,969205
Nadine,PG,Comedy,United States,12000000,5669831
Personal Services,R,Comedy,United Kingdom,19897678,1744164
In the Mood,PG-13,Comedy,United States,7000000,999382
Surrender,PG,Comedy,United States,15000000,5711976
September,PG,Drama,United States,10000000,486434
"Sister, Sister",R,Drama,United States,4000000,743445
Million Dollar Mystery,PG,Comedy,United States,10000000,989033
Die Hard,R,Action,United States,28000000,141603197
Midnight Run,R,Action,United States,30000000,81613606
Beetlejuice,PG,Comedy,United States,15000000,74270074
Big,PG,Comedy,United States,18000000,151927281
Rain Man,R,Drama,United States,25000000,354825435
Running on Empty,PG-13,Crime,United States,7000000,2847941
They Live,R,Action,United States,4000000,13008928
Willow,PG,Action,United Kingdom,35000000,57269863
Crocodile Dundee II,PG,Action,Australia,14000000,239606210
Heathers,R,Comedy,United States,3000000,1163969
Coming to America,R,Comedy,United States,39000000,288752301
Who Framed Roger Rabbit,PG,Animation,United States,70000000,329803958
Mystic Pizza,R,Comedy,United States,6000000,12793213
Mississippi Burning,R,Crime,United States,15000000,34603943
